perspective,taxonomy,n,replicate,shuffle_id,n_disjoint,n_refs,dcor_A,dcor_B,disparity_A,disparity_B,hull_area
behavioral,behavioral,5,66,0,199,4,0.15950000948559032,0.8785185994801804,0.2917571612953061,0.41078171425326854,0.04815101310103594
behavioral,behavioral,5,67,0,199,4,-0.2046155480940712,0.673297684822423,0.24198676375317923,0.19650610265355,0.15696709698279046
behavioral,behavioral,5,68,0,199,4,-0.016643797659907877,0.8363877934885968,0.4903034634188852,0.5072307290364862,0.016887495857046617
behavioral,behavioral,5,69,0,199,4,0.25797407203350486,0.9410271759164192,0.12261686855438639,0.22916526297514692,0.11323282501246035
behavioral,behavioral,5,70,0,199,4,-0.21396114873251373,0.5677762485799435,0.7518449295535721,0.658142464137151,0.07595043297094939
behavioral,behavioral,5,71,0,199,4,0.2752450588513074,0.9217448409878759,0.08460093709454994,0.1210210864984113,0.09097596856160613
behavioral,behavioral,5,72,0,199,4,0.6496423019660252,0.8756879977804805,0.08596170709505466,0.1576931110138436,0.03247595175307938
behavioral,behavioral,5,73,0,199,4,0.438956270687935,0.9458471977247684,0.2931447945336728,0.32120346191623417,0.0992465110715261
behavioral,behavioral,5,74,0,199,4,0.13086677525776308,0.8941784523913869,0.5012786503116408,0.10848119649142139,0.10799337038700292
behavioral,behavioral,5,75,0,199,4,0.3032856837406641,0.8818887084732114,0.1163581710651417,0.15838327294023927,0.14181165862097767
behavioral,behavioral,5,76,0,199,4,0.4466397688947349,0.9331308100778101,0.16992670781561298,0.11098884250550253,0.19446600527434665
behavioral,behavioral,5,77,0,199,4,0.35372273010636957,0.9296975384342507,0.16190880174644026,0.25668553177562137,0.09543599574800077
behavioral,behavioral,5,78,0,199,4,-0.352350993971161,-0.2252630666870619,0.8130481562444577,0.7104946435926959,0.1691780600454913
behavioral,behavioral,5,79,0,199,4,0.5656494159073501,0.9566796164566825,0.4517512658059678,0.3764007293245417,0.043994091733705505
behavioral,behavioral,5,80,0,199,4,0.40752646615328963,0.9591688218880312,0.21164727315428955,0.3595659237147023,0.1400363042923351
behavioral,behavioral,5,81,0,199,4,0.8276723823681928,0.5617103570457657,0.5605386340516799,0.4853018117521257,0.045033319126690466
behavioral,behavioral,5,82,0,199,4,0.31686057258800177,0.9909959208381666,0.5806310057047361,0.43900134754109,0.06070837736490238
behavioral,behavioral,5,83,0,199,4,0.2976398254291732,0.9771878560164814,0.1611835104156648,0.29775129782973253,0.05629165006333167
behavioral,behavioral,5,84,0,199,4,0.15153947124918146,-0.060631236228107004,0.4745657398145901,0.5190830371736657,0.10444266125489654
behavioral,behavioral,5,85,0,199,4,0.27799288403060696,0.9410966998889342,0.18247823043385183,0.14513278900858206,0.16584386809558158
behavioral,behavioral,5,86,0,199,4,0.5624855237370654,0.8900055908753275,0.13919714264114783,0.23925605314569698,0.09560920116259461
behavioral,behavioral,5,87,0,199,4,-0.14017313577510518,0.4124259721914576,0.6521750213895376,0.17779996315895802,0.07963103496482905
behavioral,behavioral,5,88,0,199,4,-0.08170026413092772,0.9366591260711459,0.422356497964121,0.44042834333560643,0.05789380017664733
behavioral,behavioral,5,89,0,199,4,-0.18524711481932735,-0.4060219525886669,0.6858179908415026,0.4302545763913238,0.13215547133723096
behavioral,behavioral,5,90,0,199,4,0.15259848338509105,0.3898667610267219,0.3392678670949793,0.3610315984382783,0.07192340501741618
behavioral,behavioral,5,91,0,199,4,0.34832562685332813,0.9793916916805909,0.38814432548215255,0.3389293264252354,0.08794487665821327
behavioral,behavioral,5,92,0,199,4,0.11509259568985794,0.4996357461652868,0.48038762957895176,0.302829475045252,0.09993932881950772
behavioral,behavioral,5,93,0,199,4,-0.40092237185916507,-0.33937101310175266,0.677653946269021,0.6343689721129752,0.2055944307925908
behavioral,behavioral,5,94,0,199,4,0.36005733091453235,0.9263656312828341,0.3018604346644964,0.4994524622108753,0.030743901818063454
behavioral,behavioral,5,95,0,199,4,0.01860213411990803,0.9487339703196748,0.5174017590080049,0.3818095142478075,0.10076205597639804
behavioral,behavioral,5,96,0,199,4,0.029554337324064296,0.8746020614330374,0.18150587503512472,0.4118362511332593,0.10491897498955483
behavioral,behavioral,5,97,0,199,4,0.3211174747760629,0.9800289929419506,0.06933581501197841,0.36423868503704776,0.061747609853953396
behavioral,behavioral,5,98,0,199,4,-0.0885585285527266,0.45391691992304906,0.7289626611240061,0.9114006821951384,0.10024244327174017
behavioral,behavioral,5,99,0,199,4,-0.07377236387106649,0.8488951226099455,0.2585576423298235,0.13541446522786935,0.08963362981692818
behavioral,behavioral,10,0,0,99,4,0.6190954879345444,0.7677620846393695,0.1563070131057963,0.20965282883611364,0.22295823792949226
behavioral,behavioral,10,1,0,99,4,0.7025468050268991,0.914777794462565,0.2753167388506595,0.1421635074198825,0.1989693339687249
behavioral,behavioral,10,2,0,99,4,0.5764639034301255,0.9124226934700926,0.5227519351388576,0.5227736410640703,0.21854151193203708
