perspective,taxonomy,metric,mixture,n_models,n_within_pairs,n_between_pairs,within_mean,within_sd,between_mean,between_sd,ratio,n_between_same_seed_pairs,between_same_seed_mean,between_same_seed_sd,n_between_diff_seed_pairs,between_diff_seed_mean,between_diff_seed_sd,ratio_same_seed,seconds
functional_all,functional,cosine,yahoo_075g1_025g2_000g3_n1000_s00,10,45,1500,0.0013808749404103432,8.140580637138629e-05,0.018778213844287527,0.006461831661762498,0.07353601103176358,150,0.018224829231003506,0.006614031720112516,1350,0.018839701023541305,0.0064417648381115715,0.0757688822708551,0.88
functional_all,functional,cosine,yahoo_100g1_000g2_000g3_n1000_s00,10,45,1500,0.0013856486243181143,7.179881475372939e-05,0.023509371651592618,0.007153315588937611,0.0589402662416222,150,0.02304996122254868,0.007326653744888916,1350,0.023560417254819725,0.007131969302818354,0.060115008912145156,0.88
behavioral,behavioral,cosine,ALL,160,720,12000,0.01994133879391548,0.007464915287169134,0.0260323870945896,0.004121852613676483,0.76602036998981,1200,0.025389531903078837,0.0041998475609656,10800,0.026103815449201907,0.0041068883769633776,0.7854157717455718,0.58
behavioral,behavioral,cosine,yahoo_000g1_000g2_100g3_n1000_s00,10,45,1500,0.02019950879074871,0.007050665803724716,0.02729992406850156,0.0034262161963044173,0.7399108048822285,150,0.02677536293379783,0.0035737539675327985,1350,0.027358208639024193,0.0034044434789655565,0.754406535616046,0.58
behavioral,behavioral,cosine,yahoo_000g1_025g2_075g3_n1000_s00,10,45,1500,0.01936480993858944,0.007326671660699748,0.0255634806581972,0.0038435244512776516,0.757518516258071,150,0.02483222078335323,0.00397955789616804,1350,0.02564473175540209,0.0038194787945042465,0.7798259409634043,0.58
behavioral,behavioral,cosine,yahoo_000g1_050g2_050g3_n1000_s00,10,45,1500,0.02120601552538895,0.0076024327265477275,0.02618304695237606,0.004088737221410856,0.8099139708208996,150,0.025752411320963155,0.004365735959135013,1350,0.026230895355866386,0.004053969493912104,0.8234574720436638,0.58
behavioral,behavioral,cosine,yahoo_000g1_075g2_025g3_n1000_s00,10,45,1500,0.01985687520575496,0.007669707742038823,0.026439744697142168,0.0042670292405560415,0.7510237119612301,150,0.025637272691373128,0.004252747607905158,1350,0.02652890825333873,0.004259290637382319,0.774531497355284,0.58
behavioral,behavioral,cosine,yahoo_000g1_100g2_000g3_n1000_s00,10,45,1500,0.0203037555646263,0.007046586713639836,0.027547447307563255,0.00386977595785122,0.7370467157242488,150,0.02713773801092224,0.003932711073973744,1350,0.027592970562745588,0.0038600364166339433,0.7481742051034085,0.58
behavioral,behavioral,cosine,yahoo_025g1_000g2_075g3_n1000_s00,10,45,1500,0.018269756212482554,0.007323257392725254,0.02655459645207963,0.004099116510346228,0.6880073001844377,150,0.025586311296718314,0.004122862691238737,1350,0.02666218369156422,0.0040823170655636485,0.7140441621542306,0.58
behavioral,behavioral,cosine,yahoo_025g1_025g2_050g3_n1000_s00,10,45,1500,0.020689688140618775,0.007333911528157241,0.02527962660764906,0.0041482379267420945,0.8184332965724475,150,0.02444252231525627,0.004313277544892291,1350,0.0253726381956927,0.004119004893221007,0.8464628925675526,0.58
behavioral,behavioral,cosine,yahoo_025g1_050g2_025g3_n1000_s00,10,45,1500,0.01918158304005161,0.007187056578093532,0.02487415352302049,0.004184643960756314,0.7711451576552935,150,0.0241826206614076,0.004346933128726635,1350,0.02495099050764415,0.004159130119505183,0.7931970363602067,0.58
behavioral,behavioral,cosine,yahoo_025g1_075g2_000g3_n1000_s00,10,45,1500,0.02140238566958665,0.00801663011620535,0.02677850006519775,0.004261939876231312,0.7992376577283326,150,0.02634382433957616,0.004641894179570174,1350,0.0268267973680446,0.004214844097026775,0.8124251586901899,0.58
behavioral,behavioral,cosine,yahoo_033g1_033g2_033g3_n1000_s00,10,45,1500,0.018067251939638374,0.007239104973639008,0.02477078935651953,0.004106215917485276,0.7293773193740867,150,0.023753245051792875,0.004040082613845376,1350,0.02488384983482249,0.004097931505657327,0.7606224707505669,0.58
behavioral,behavioral,cosine,yahoo_050g1_000g2_050g3_n1000_s00,10,45,1500,0.01988629979720613,0.008189708506204485,0.026045601489216922,0.004350621324667311,0.7635185467089025,150,0.025298152548937015,0.004370140220142409,1350,0.02612865137147024,0.004340509162375449,0.7860771555843005,0.58
behavioral,behavioral,cosine,yahoo_050g1_025g2_025g3_n1000_s00,10,45,1500,0.020301269473101416,0.007281395788717072,0.025436432168996003,0.004166744691851973,0.798117807490559,150,0.024820683111892592,0.00410174750493317,1350,0.02550484873089637,0.004168293100455394,0.8179174352930785,0.58
behavioral,behavioral,cosine,yahoo_050g1_050g2_000g3_n1000_s00,10,45,1500,0.01974983597004165,0.007741514532556454,0.025417134116207222,0.004218515600868668,0.7770284360048357,150,0.024688673874948695,0.004172214706398737,1350,0.02549807414301372,0.004215866159546499,0.7999553183810969,0.58
behavioral,behavioral,cosine,yahoo_075g1_000g2_025g3_n1000_s00,10,45,1500,0.02031239352642297,0.006980519138376646,0.026093091386628235,0.0039924161093816595,0.7784586818575409,150,0.025855645614129105,0.0037781888071732805,1350,0.026119474250239253,0.004014646909166813,0.7856076707410871,0.58
behavioral,behavioral,cosine,yahoo_075g1_025g2_000g3_n1000_s00,10,45,1500,0.019337459144317865,0.007353748217970787,0.025699403471004273,0.003928663044168461,0.7524477821493264,150,0.025024770672893625,0.0038630216428595164,1350,0.025774362670794342,0.0039287444642159015,0.7727327213936809,0.58
behavioral,behavioral,cosine,yahoo_100g1_000g2_000g3_n1000_s00,10,45,1500,0.020932532764071345,0.007070698614625572,0.026535221193134267,0.0036980037378339416,0.7888584237423819,150,0.0261010552212996,0.0036005070260115113,1350,0.02658346185667145,0.0037055397126811523,0.8019803255689634,0.58
behavioral_greedy,behavioral,cosine,ALL,160,720,12000,0.0922885709054184,0.010307675836513437,0.17328257659797805,0.017010532828990645,0.5325900198236968,1200,0.17160867702506352,0.017898768290595557,10800,0.173468565439413,0.01689872808665002,0.537784991442709,0.25
behavioral_greedy,behavioral,cosine,yahoo_000g1_000g2_100g3_n1000_s00,10,45,1500,0.08843793031826061,0.008862211710124393,0.18202191730157136,0.012489310786806299,0.48586418399130415,150,0.1812438336077286,0.012851841283037048,1350,0.18210837104533167,0.012445375457249039,0.48795000943132466,0.25
behavioral_greedy,behavioral,cosine,yahoo_000g1_025g2_075g3_n1000_s00,10,45,1500,0.08980468319494771,0.006349018769045353,0.17345347250886822,0.01362958213328702,0.5177450868869531,150,0.17164181475433538,0.014658214506203497,1350,0.17365476781492745,0.013495452142392927,0.5232098211236106,0.25
behavioral_greedy,behavioral,cosine,yahoo_000g1_050g2_050g3_n1000_s00,10,45,1500,0.08085385540021134,0.008280302832806409,0.1668514438222041,0.016791048005163497,0.4845858899870757,150,0.16529031037956063,0.01741861763116888,1350,0.16702490309360896,0.016710863932188007,0.48916270539116563,0.25
behavioral_greedy,behavioral,cosine,yahoo_000g1_075g2_025g3_n1000_s00,10,45,1500,0.0912886132733055,0.006262927672372745,0.1778670204639818,0.01954794981644813,0.5132408078528053,150,0.17636418004627213,0.020459950309008802,1350,0.17803400273261621,0.01943680465449558,0.5176142527884878,0.25
behavioral_greedy,behavioral,cosine,yahoo_000g1_100g2_000g3_n1000_s00,10,45,1500,0.09167411248615916,0.005944968454078695,0.1834575046247756,0.0177163443737154,0.4997021663063585,150,0.18260819755893665,0.01839348372015876,1350,0.1835518720765355,0.017636977779910086,0.5020262710636055,0.25
behavioral_greedy,behavioral,cosine,yahoo_025g1_000g2_075g3_n1000_s00,10,45,1500,0.10957409880950897,0.009607745654477437,0.18584487748326534,0.014292877653313428,0.5895997796300613,150,0.1843130790458187,0.014809264219825645,1350,0.1860150773096483,0.01422416602168524,0.5944998552287749,0.25
behavioral_greedy,behavioral,cosine,yahoo_025g1_025g2_050g3_n1000_s00,10,45,1500,0.09425206385357274,0.008209529184545612,0.16883943375115623,0.013763824956510564,0.5582348966680735,150,0.16679204688163443,0.014725934770775431,1350,0.16906692118110309,0.013633773716159411,0.5650872785346871,0.25
behavioral_greedy,behavioral,cosine,yahoo_025g1_050g2_025g3_n1000_s00,10,45,1500,0.08602968419732632,0.007330909612149361,0.16285857843322732,0.015414569518002573,0.5282477903526515,150,0.16093530449633675,0.01608000191351107,1350,0.16307227553732623,0.015323957611849333,0.5345606699944732,0.25
behavioral_greedy,behavioral,cosine,yahoo_025g1_075g2_000g3_n1000_s00,10,45,1500,0.0884556090606036,0.00932514832529272,0.16954624695415826,0.017345801044170276,0.5217196526002733,150,0.16782559024243562,0.018195857759227694,1350,0.16973743103323857,0.017238165916093468,0.5270686605828311,0.25
behavioral_greedy,behavioral,cosine,yahoo_033g1_033g2_033g3_n1000_s00,10,45,1500,0.09221342339699738,0.00830766113947318,0.17121249885251705,0.014490857944111271,0.5385904885158548,150,0.1695554874905781,0.015251557823558222,1350,0.1713966112260658,0.014392084477897134,0.5438539605043542,0.25
behavioral_greedy,behavioral,cosine,yahoo_050g1_000g2_050g3_n1000_s00,10,45,1500,0.08921520039194257,0.008576724178063927,0.1735784180749849,0.013488735170630017,0.5139763421130046,150,0.172263452144968,0.01429366239016699,1350,0.17372452540054234,0.013388343682130106,0.5178997592412329,0.25
behavioral_greedy,behavioral,cosine,yahoo_050g1_025g2_025g3_n1000_s00,10,45,1500,0.10275527464568557,0.0069941996606155965,0.16935574675250256,0.014547558567529073,0.606742178025129,150,0.16696719886513967,0.015438720526741171,1350,0.16962114096220957,0.014420746796292126,0.6154219232526119,0.25
behavioral_greedy,behavioral,cosine,yahoo_050g1_050g2_000g3_n1000_s00,10,45,1500,0.0905007865075003,0.010121842158926926,0.16450999391779625,0.01472238537200696,0.5501233350766672,150,0.16261923181042187,0.01568387893703299,1350,0.1647200785963934,0.014596537071857619,0.5565195795107694,0.25
behavioral_greedy,behavioral,cosine,yahoo_075g1_000g2_025g3_n1000_s00,10,45,1500,0.09421500246045379,0.009000671591674746,0.17540169960024282,0.015187048490058664,0.5371384808424249,150,0.1734190909374333,0.0160403365750737,1350,0.17562198945166613,0.015073171660914913,0.543279300745758,0.25
behavioral_greedy,behavioral,cosine,yahoo_075g1_025g2_000g3_n1000_s00,10,45,1500,0.09214008680928143,0.006231911620354569,0.16915104821720603,0.01758650713034535,0.5447207556820151,150,0.16718763710773812,0.018802034760322554,1350,0.1693692050071469,0.01743257648031646,0.5511178242797046,0.25
behavioral_greedy,behavioral,cosine,yahoo_100g1_000g2_000g3_n1000_s00,10,45,1500,0.09520670968093721,0.00892769873321378,0.17857132480919055,0.018133647722282556,0.5331578840145178,150,0.17671237703167836,0.019558320519270606,1350,0.17877787456224747,0.01795650375391726,0.5387665045322205,0.25
